tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stab,stabf
2.95906002455997,3.07988520422811,8.38102539191882,9.78075443222607,3.76308477206316,-0.782603630987543,-1.25739482958732,-1.7230863114883,0.650456460887227,0.859578105752345,0.887444920638513,0.958033987602737,0.0553474891727752,0
0.716414776295121,7.66959964406565,4.48664083058949,2.34056298396795,3.96379106326633,-1.02747330413905,-1.9389441526466,-0.997373606480681,0.446208906537321,0.976744082924302,0.929380522872661,0.36271777426931,0.028870543444887,0
4.68985192749584,4.00774746209312,1.47857287590383,3.73378749230253,4.04129961368168,-1.41034431234687,-1.23820427574315,-1.39275102559166,0.269708270661235,0.250364217202032,0.164941118523114,0.482439411001001,-0.0386765836142913,1
5.93011011760085,6.73087337437817,6.24513790053774,0.53328751282593,2.32709159288717,-0.702501235021046,-1.11691962966126,-0.507670728204865,0.239815632938209,0.563109593653352,0.164461028193514,0.753701355880644,-0.0284114612679547,1
1.13210759360397,2.92032402330491,8.95107854465566,7.24858347796639,5.03368055334748,-1.84607954217829,-1.36277740864708,-1.82482360252211,0.352291990740888,0.524172882249252,0.599003855980165,0.674389868319682,0.0148804322017331,0
3.9319535918755,9.1808897082158,6.06448032596261,6.29214742613888,5.36399630302728,-1.69508490733105,-1.88027317816616,-1.78863821753007,0.837263668885188,0.611780635329584,0.210692284364991,0.697465329147656,0.0527814508232104,0
5.97318647796828,6.04311848916973,5.9960449836661,1.07693958243215,3.82821811448162,-0.989549142506556,-1.07902571955567,-1.75964325241939,0.350474935760746,0.128154394470496,0.548860907231716,0.503974237784797,-0.0230131339403443,1
9.03414663642432,1.07163499989597,5.4783419879778,9.41252491868344,3.40513947604416,-1.16325253805559,-1.65395445267319,-0.587932485315378,0.253608875583038,0.778670480134004,0.287025561205128,0.221631366997265,-0.0332449176389809,1
3.43254862102449,0.944068374361633,3.32477130123085,7.73535636691332,4.13462445340227,-1.49594916077453,-1.39869003307117,-1.23998525955657,0.408973718162426,0.392226079445173,0.330908729781676,0.655999006059108,-0.0229132907351178,1
9.93605035330734,4.40654158307195,6.82548256598869,4.8551365943656,4.14953397785072,-0.962996982034028,-1.49164510923186,-1.69489188658483,0.955617589180665,0.787557445555592,0.667851721721907,0.637185671909518,0.0761082548827678,0
9.85346181120317,7.18102283164953,1.68908375513131,1.70549198673241,2.38858397103332,-0.676758056375081,-0.510617968486831,-1.20120794617141,0.953620611836958,0.657751775773623,0.788264275069049,0.0826596367877105,0.0213854244017263,0
7.21296752386029,3.81571985705203,8.8662079819718,6.51775706954577,2.79640021715211,-1.65246484248331,-0.54715133397677,-0.59678404069203,0.417993053623149,0.0585230182504177,0.578285993986588,0.314434099510369,0.0220062433915864,0
1.49218872607205,9.79709296741197,2.55281063054377,7.19469647937642,3.84899325423071,-1.8514937934918,-1.41403610700899,-0.583463353729923,0.799481515463581,0.654333089808831,0.32163781636517,0.268789669713002,-0.0270085576062858,1
